Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Points
25. কার্টাগানা প্রটোকল কোন সালে সাক্ষরিত হয়?,২০০০,২০০১,২০০৩,২০০৫,২০০০,1
26. ভারতে বছরে কোন দিনটি সিভিল সার্ভিস দিবস হিসেবে পালিত হয়?,২১ এপ্রিল,২ অক্টোবর,২৬ জানুয়ারি,১০ মে,২১ এপ্রিল,1
27. গ্রীন হাউস গ্যাসসমূহ নিঃসরণ সংক্রান্ত চুক্তি “The Kyoto Protocol” জাতিসংঘ কর্তৃক কত সালে গৃহীত হয়?,১৯৯৭ সালে,১৯৯৯ সালে,২০০৩ সালে,২০০৪ সালে,১৯৯৭ সালে,1
28. কোনটি “Bretton Woods Institutions” এর অন্তর্ভুক্ত?,IDB,IMF,WTO,ADB,IMF,1
29. কোন চুক্তির মাধ্যমে ইউরোপে ‘Thirty years War” এর সমাপ্তি ঘটে?,"ভার্সাই চুক্তি,১৯১৯","ওয়েস্টফেলিয়া শান্তি চুক্তি,১৬৪৮","প্রা্যারিস চুক্তি, ১৭৮৩","লুজান চুক্তি,১৯২৩","ওয়েস্টফেলিয়া শান্তি চুক্তি,১৬৪৮",1
30. মার্কিন তালেবান ঐতিহাসিক চুক্তি স্বাক্ষরিত হয়-,"২ মার্চ, ২০২০","২৫ জানুয়ারি, ২০২০","৩০ এপ্রিল, ২০২০","২৯ ফেব্রুয়ারি, ২০২০","২৯ ফেব্রুয়ারি, ২০২০",1
31. ডিসেম্বর ২০২০ বাংলাদেশ ভারত ভার্চুয়াল শীর্ষ সম্মেলনে কয়টি সমঝোতা স্মারক স্বাক্ষরিত হয়?,৩টি,৫টি,৭টি,৯টি,৭টি,1
32. আধুনিক মেধাভিত্তিক সিভিল সার্ভিস এর উন্মেষ ঘটে কোন দেশ হতে?,যুক্ত্রাজ্য,যুক্তরাষ্ট্র,চীন,ভারত,চীন,1
33. সম্প্রতি (সেপ্টেম্বর-২০২০) কোন অঞ্চলের নিয়ন্ত্রণ নিয়ে আজারবাইজান ও আর্মেনিয়ার মাঝে সংঘর্ষ হয়?,আর্টসাখ প্রজাতন্ত্র,নাগর্নো-কারাবাখ,ইয়েতেভান,নাকার্চভান ছিটমহল,নাগর্নো-কারাবাখ,1
34. কোথায় শেনজেন চুক্তি স্বাক্ষরিত হয়?,১৯৯৫ সালে ডেনমার্ক,১৯৮৪ সালে বেলজিয়াম,১৯৮৫ সালে লুক্সেমবার্গে,১৯৯৬ সালে হাঙ্গেরিতে,১৯৮৫ সালে লুক্সেমবার্গে,1
35. Global Vaccine Summit অনুষ্ঠিত হয়-,"৫ মে,২০২০","৪ জুন,২০২০","৬ জুলাই,২০২০","৮ আগস্ট,২০২০","৪ জুন,২০২০",1
36. কোন দেশটি সম্প্রতি ইসরাইল এর সাথে কূটনৈতিক সম্পর্ক স্থাপন করেছে?,সৌদিআরব,কুয়েত,সংযুক্ত আরব আমিরাত,ওমান,সংযুক্ত আরব আমিরাত,1
37. D-8 Organization for Economic Cooperation বা D8 এর দশম শীর্ষ সম্মেলন কোথায় অনুষ্ঠিট হবে?,আবুজা,ঢাকা,তেহরান,ইস্তাম্বুল,ইস্তাম্বুল,1
38. WIPO এর সদরদপ্তর কোথায় অবস্থিত?,জেনেভা,রোম,নিউইয়র্ক,ওয়াশিংটন ডিসি,জেনেভা,1
39. Sustainable Development Goal(SDG) কয়টি?,১৩টি,১৫টি,১৭টি,৩১টি,১৭টি,1
40. বঙ্গভঙ্গের ফলে কোন নতুন প্রদেশ সৃষ্টি হয়েছিলো?,পূর্ববঙ্গ,পশ্চিমবঙ্গ ও ত্রিপুরা,পূর্ব্বঙ্গ ও পশ্চিমবঙ্গ,পূর্ববঙ্গ ও আসাম,পূর্ববঙ্গ ও আসাম,1
41. সাবাস বাংলাদেশ ভাসস্কর্যটির স্থপতি কে?,হামিদুজ্জামান খান,রবিউল হোসাইন,আব্দুর রাজ্জাক,নিতুন কুন্ডু,নিতুন কুন্ডু,1
42. ঢাকা গেইট এর নির্মাতা কে?,শায়েস্তা খাঁ,নবাব আব্দুল গণি,লর্ড কার্জন,মীর জুমলা,মীর জুমলা,1
43. ব্রিটিশ কৃষি বিপ্লব কখন সংগঠিত হয়েছিলো?,উনবিংশ শতাব্দীতে,অষ্টাদশ শতাব্দীতে,ষোড়শ শতাব্দীতে,চতুর্দশ শতাব্দীতে,অষ্টাদশ শতাব্দীতে,1
44. বাংলাদেশে জাতীয় আয়ে কোন খাতে প্রবৃদ্ধির হার সবচেয়ে বেশি?,কৃষি ও বনজ,মৎস্য,শিল্প,স্বাস্থ্য ও সামাজিক সেবা,শিল্প,1
45. ১৯৭১ সালে “The concer for Bangladesh” কোথায় অনুষ্ঠিত হয়?,চট্টগ্রাম,কলকাতা,লন্ডন,নিউইয়র্ক,নিউইয়র্ক,1
46. প্রতিবছর কোন তারিখে বাংলাদেশ জাতিয় জনসংখ্যা দিবস পালন করা হয়?,২ ফেব্রুয়ারী,৮ ফেব্রুয়ারী,৮ মার্চ,৭ এপ্রিল,২ ফেব্রুয়ারী,1
47. ১৯৭১ সালে মুজিবনগর সরকার কর্তৃক প্রকাশিত পত্রিকার নাম ছিল-,জয় বাংলা,বাংলাদেশ,স্বাধীনতা,মুক্তির ডাক,জয় বাংলা,1
48. মুক্তিযুদ্ধ জাদুঘর কত সালে প্রতিষ্ঠিত হয়?,১৯৯৬,১৯৯৮,২০০০,২০০৮,১৯৯৬,1
49. বাংলাদেশের প্রধান বীজ উৎপাদনকারী সরকারি প্রতিষ্ঠান-,BARI,BRRI,BADC,BINA,BADC,1
50. গণপ্রজাতন্ত্রী বাংলাদেশ সংবিধানের খসড়া সর্বপ্রথম গণপরিষদে ১৯৭২ সালের কোন তারিখে উত্থাপিত হয়?,১১ নভেম্বর,১২ অক্টোবর,১৬ ডিসেম্বর,৩রা মার্চ,১২ অক্টোবর,1
51. বাংলাদেশের সরকারি কর্মকমিশন সংবিধানের কত অনুচ্ছেদ অনুযায়ী গঠিত?,১৩৬,১৩৭,১৩৮,১৪০,১৩৭,1
52. নঁওগা জেলার পাহারপুড়ে অবস্থিত সোমপুর বিহার এর প্রতিষ্ঠাতা কে?,গোপাল,ধর্মপাল,মহীপাল,বিগ্রহপাল,ধর্মপাল,1
53. বাংলাদেশের প্রথম সামুদ্রিক গ্যাসক্ষেত্র কোনটি?,হাতিয়া প্রণালী,জফোর্ড পয়েন্ট,সাঙ্গু ভ্যালি,মাতারবাড়ি,জফোর্ড পয়েন্ট,1
54. রাষ্ট্রভাষা আন্দোলনে কোন সংস্থা গুরুত্বপূর্ণ ভূমিকা পালন করে?,তমদ্দুন মজলিস,ভাষা পরিষদ,মাতৃভাষা পরিষদ,আমরা বাঙালি,তমদ্দুন মজলিস,1
55. বাংলাদেশের ছয় ঋতুর সঠিক অনুক্রম কোনটি?,"গ্রীষ্ম,বর্ষা, বসন্ত, হেমন্ত, শীত ও শরৎ","বর্ষা, শরৎ, হেমন্ত, শীত, বসন্ত, গ্রীষ্ম","শরৎ, হেমন্ত, শীত, বসন্ত, গ্রীষ্ম ও বর্ষা","গ্রীষ্ম, বর্ষা, শরৎ, হেমন্ত, শীত, বসন্ত","গ্রীষ্ম, বর্ষা, শরৎ, হেমন্ত, শীত, বসন্ত",1
56. কোনটি যমুনার উপনদী?,তিস্তা,ধলেশ্বরী,ধোলাই,বংশী,তিস্তা,1
57. বঙ্গবন্ধু কত সালে এবং কোন শহরে জোট নিরপেক্ষ আন্দোলনের শীর্ষ সম্মেলনে অংশগ্রহণ করেন?,"১৯৭২, কায়রো","১৯৭৪, নয়াদিল্লী","১৯৭৫, বেলগ্রেড","১৯৭৩, আলজিয়ার্স","১৯৭৩, আলজিয়ার্স",1
58. ১৯৪৮-১৯৫২ সালের ভাষা আন্দোলনের সময় ‘ভাষা দিবস’ হিসেবে কোন দিনটি পালন করা হতো?,২৫ শে জানুয়ারী,১১ই ফেব্রুয়ারী,১১ই মার্চ,২৫ শে ফেব্রুয়ারী,১১ই মার্চ,1
59.বাঙালী উপভাষা অঞ্চল কোনটি?,নদীয়া,ত্রিপুরা,পুরুলিয়া,বরিশাল,বরিশাল,1
60. বাংলাদেশের বর্তমান সভাপতি পূর্বে কোন দেশের CVF এর সভাপতি ছিল?,মার্শাল আইল্যান্ড,মালদ্বীপ,গ্রানাডা,বাহামা,মার্শাল আইল্যান্ড,1
61. কৃষিক্ষেত্রে রবি মৌসুম কোনটি?,কার্তিক-ফাল্গুন,চৈত্র-বৈশাখ,ভাাদ্র-অগ্রাহয়ন,শ্রাবণ-আশ্বিন,কার্তিক-ফাল্গুন,1
62. নিচের কোনটি মুক্তিযুদ্ধভিত্তিক স্বল্পদৈর্ঘ্য চলচ্চিত্র?,ধীরে বহে মেঘনা,কলমিলতা,আবার তোরা মানুষ হ,হুলিয়া,হুলিয়া,1
63. The Doctor an animal means:,to treat it,to sterilize it,to poison it,yo cure it,yo cure it,1
"64. যদি ICE:COLDNESS হয়, তবে EARTH:?",weight,jungle,sea,Gravity,Gravity,1
65. Identify the word that remain same in plural form,deer,horse,elephent,tigre,deer,1
66. Hasan has read most of the —- of shakespeare,poem,play,drama,works,works,1
67. What is the meaning of musk?,A form of drama,A face cover,a substance used in making perfume,a disguise,A face cover,1
68. Identify correctly spelled one:,Caesarean,caesarean,ciserian,scissorian,Caesarean,1
69. অনুকম্পা শব্দের ইংরেজি কোনটি?,Clemency,Entharl,Erudition,Fathom,Clemency,1
70. Liza had given me two:,pair of jean,pairs of jean,pair of jeans,pairs of jeans,pairs of jeans,1
71. The word “Flying” in the sentence “Look at the flying bird” is a,gerund,participle,verbal noun,gerundial infinitive,participle,1
72. Would you please find out Bangladesh—- the map?,in,on,over,at,on,1
73. “Go and catch the falling star” . Here the “falling” is,an adverb,a preposition,an adjective,a verb,an adjective,1
"74. What is the correct indirect form of: He said, “You had better see a doctor”",He advised him to see a doctor,He advised that he should see a doctor,he suggested that he had seen a doctor,He proposed to see a doctor,He advised him to see a doctor,1
"75. “For God’s sake, hold your tongue and let me love” occurs in a novel by:",Jane Austen,Syed Waliullah,Somerset Maugham,Rabindranath Tagore,Rabindranath Tagore,1
76. “Giving someone the cold shoulder” means-,to torture somebody,to harm someone,to appreciate soe one,to egnore somebody,to egnore somebody,1
77. What is the function of a topic sentence?,to introduce the topic,to analyse the topic,to present the main idea,to expand the idea,to present the main idea,1
78. Identify the determiner in the sentence “Bring me that book”,bring,me,that,book,that,1
79. Which word is correct?,Furnitures,Infomations,Sceneries,Proceeds,Proceeds,1
"80. Complete the sentence: If I were you, I— take the money:",shall,will,would,may,would,1
81. Fill in the gap with the correct form of verb: The police —- informed yesterday,is,are,was,were,were,1
82. “September on the Jessore Road” is written by-,Madhusudan Dutt,Allen Ginsberg,Kaiser Haq,Vikram Seth,Allen Ginsberg,1
83. Who wrote Dr.Zhivago?,Maxim Gorky,Boris Pasternak,Fyodor Dostoevsky,Leo Tolstoy,Boris Pasternak,1
84. “A passage to India” is written by-,E.M. Foster,Nirad C Chaudhuri,Rudyard Kipling,Walt Whitman,E.M. Foster,1
85.x2−3x−10>0x^2 - 3x -10 \gt 0x2−3x−10>0অসমতাটির সমাধান কোনটি?,"(−∞,−1)∪(4,+∞)\left( -\infty, -1 \right) \cup \left( 4, + \infty \right)(−∞,−1)∪(4,+∞)","(−∞,−2)∪(5,+∞)\left( -\infty, -2 \right) \cup \left( 5, + \infty \right)(−∞,−2)∪(5,+∞)","(∞,2)∪(5,+∞)\left(\infty, 2 \right) \cup \left( 5, + \infty \right)(∞,2)∪(5,+∞)","(−5,−∞)∪(∞,2)\left( -5, -\infty \right) \cup \left( \infty, 2 \right)(−5,−∞)∪(∞,2)","(−∞,−2)∪(5,+∞)\left( -\infty, -2 \right) \cup \left( 5, + \infty \right)(−∞,−2)∪(5,+∞)",1
86.log⁡x19\log_x \frac{1}{9}logx​91​= -2 হলে x এর মান কোনটি?,3,2,13\frac{1} {3}31​,−13- \frac{1} {3}−31​,3,1
87. এক ব্যক্তি ব্যাংকে ৫১০ টাকার চেক দিয়ে ২০ টাকার এবং ৫০ টাকার নোট প্রদানের জন্য অনুরোধ করলেন। কত প্রকারে তাঁর অনুরোধ রক্ষা করা সম্ভব?,৩ প্রকারে,৪ প্রকারে,৬ প্রকারে,৫ প্রকারে,৫ প্রকারে,1
88. ১ থেকে ৪৯ পর্যন্ত সংখ্যাগুলোর গড় কত?,২৫,৩০,৩৫,৪৯,২৫,1
89. ৩০ কি.মি.পথ পাড়ি দিতে জয়নুলের রনির থেকে ২ ঘন্টা সময় বেশি লেগেছে। জয়নুল যদি তার গতি দ্বিগুণ করত তাহলে রনির থেকে ১ ঘন্টা সময় কম লাগত। জয়নুলের গতি কত ছিল?,৪ কি.মি./ঘণ্টা,৫ কি.মি/ঘণ্টা,৬ কি.মি./ ঘণ্টা,৭.৫ কি.মি./ঘণ্টা,৫ কি.মি/ঘণ্টা,1
90. বৃত্তের ব্যাস চারগুণ বৃদ্ধি পেলে ক্ষেত্রফল কতগুণ বৃদ্ধি পাবে?,৪,৮,১২,১৬,১৬,1
"91.sec⁡A+tan⁡A=52\sec A + \tan A = \frac {5} {2}secA+tanA=25​হলে,sec⁡A−tan⁡A\sec A - \tan AsecA−tanA= ?",12\frac{1} {2}21​,15\frac{1} {5}51​,25\frac{2} {5}52​,52\frac{5} {2}25​,25\frac{2} {5}52​,1
92. টাকায় তিনটি এবং টাকায় ৫টি দরে সমান সংখ্যক আমলকি ক্রয় করে এক ব্যক্তি টাকায় ৪টি করে আমলকি বিক্রয় করলেন। ঐ ব্যক্তির শতকরা কত লাভ বা ক্ষতি হলো তা নির্ণয় করুন।,৪.২৫% লাভ,৫.২৫% ক্ষতি,৬.২৫% ক্ষতি,৭.২৫% লাভ,৬.২৫% ক্ষতি,1
"93. আপনার মোবাইল ফোনের মাসিক বিল এসেছে ৪২০ টাকা। যদি এক বছর পর ১০% বৃদ্ধি পায় এবং আরো ৬ মাস পর ২০% বৃদ্ধি পায়, তাহলে ১৮ মাস পর আপনার বিল কত হবে?",৪৬০.২০ টাকা,৫৫৪.৪০ টাকা,৬২০.৬০ টাকা,৭৩০.৮০ টাকা,৫৫৪.৪০ টাকা,1
94. একটি চৌবাচ্চায় ৮০০০ লিটার পানি ধরে। চৌবাচ্চাটির দৈর্ঘ্য ২.৫৬ মিটার এবং প্রস্থ ১.২৫ মিটার। চৌবাচ্চাটির গভীরতা কত?,১.৫ মিটার,২.৫ মিটার,৩ মিটার,৩.৫ মিটার,২.৫ মিটার,1
95. এক বর্গক্ষেত্রের এক বাহুর দৈর্ঘ্য অপর একটি বর্গক্ষেত্রের পরিসীমার সমান হলে বর্গক্ষেত্র দুটির কর্ণের অনুপাত কত হবে?,1:2,5:2,2:1,4:1,4:1,1
"96. নিচের প্রশ্নবোধক স্থানে কোনটি বসবে?15A,G21,28N,??\frac{15} {A}, \frac{G} {21}, \frac{28} {N}, \frac{?} {?}A15​,21G​,N28​,??​",54N\frac{54} {N}N54​,T18\frac{T} {18}18T​,152\frac{1} {52}521​,V36\frac{V} {36}36V​,V36\frac{V} {36}36V​,1
97. P(A) =13\frac {1} {3}31​; P(B) =23\frac {2} {3}32​; A ও B স্বাধীন হলে P(BA)\left( \frac {B} {A} \right)(AB​)= কত?,34\frac{3} {4}43​,23\frac{2} {3}32​,13\frac{1} {3}31​,14\frac{1} {4}41​,23\frac{2} {3}32​,1
98. অংশগুলি জোড়া দিলে কোন চিত্রটি হবে?,,,,,,1
99. 5+8+11+14+..... ধারাটির কত তম পদ 302?,60 তম পদ,70 তম পদ,90 তম পদ,100 তম পদ,100 তম পদ,1
"100. নিচের ধারার শেষ সংখ্যা কত? ৩, ৯, ২৭, ৮১, .....?",২৪১,২৪৩,২৪৫,২৪৭,২৪৩,1
