Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Points
46.”m সংখ্যক সংখ্যার গড় x এবং n সংখ্যক সংখ্যার গড় y হলে সব সংখ্যার গড় কত?“,x+ymn\frac{x + y}{mn}mnx+y​,x+ym+n\frac{x + y}{m+n}m+nx+y​,mx+nym+n\frac{mx + ny}{m+n}m+nmx+ny​,mx+nymn\frac{mx + ny}{mn}mnmx+ny​,mx+nym+n\frac{mx + ny}{m+n}m+nmx+ny​,1
47.যদি(ab)x−3=(ba)x−5( \frac{a}{b})^{x-3} = ( \frac{b}{a} )^{x-5}(ba​)x−3=(ab​)x−5হয় তবে x এর মান কত?,8,3,5,4,4,1
48.a333\sqrt[3]{\sqrt[3]{a^3}}33a3​​= কত?,a,1,a13a^{\frac{1}{3}}a31​,a3a^3a3,a13a^{\frac{1}{3}}a31​,1
"49.একটি সাবানের আকার ৫ সে.মি.×\times×৪ সে.মি.×\times×১.৫ সে.মি. হলে ৫৫ সে.মি. দৈর্ঘ্য, ৪৮ সে.মি. প্রস্থ এবং ৩০ সে.মি. উচ্চতাবিশিষ্ট একটি বাক্সের মধ্যে কতটি সাবান রাখা যাবে?",২৬৪০টি,১৩২০টি,৩৬০০টি,৫২৪০টি,২৬৪০টি,1
"50.যদি সেট A = {5, 15, 20, 30} এবং B = {3, 5, 15, 18, 20} হয় তবে নিচের কোনটি A∩\cap∩B নির্দেশ করবে?","{3, 18, 30}","{3, 5, 15, 18, 20, 30}","{5, 15, 20}",কোনটিই নয়,"{3, 5, 15, 18, 20, 30}",1
51.4x+4x+4x+4x4^{x} + 4^{x} + 4^{x} + 4^{x}4x+4x+4x+4xএর মান নিচের কোনটি?,16x16^x16x,44x4^{4x}44x,22x+22^{2x+2}22x+2,28x2^{8x}28x,22x+22^{2x+2}22x+2,1
"52.রকীব সাহেব ৩,৭৩,৮৯৯ টাকা ব্যাংকে রাখলেন।৭১২৭ \frac{১}{২}৭২১​বছর পর তিনি আসল টাকার১১৪১ \frac{১}{৪}১৪১​অংশ সুদ পেলেন। ব্যাংকের সুদের হার কত?",১২১২%১২ \frac{১}{২} \%১২২১​%,১৬২৩%১৬\frac{২}{৩} \%১৬৩২​%,৮১৩%৮\frac{১}{৩} \%৮৩১​%,১১১৯%১১\frac{১}{৯} \%১১৯১​%,১৬২৩%১৬\frac{২}{৩} \%১৬৩২​%,1
53.নিচের কোনটি(5−3)\left( \sqrt{5} - \sqrt{3} \right)(5​−3​)এর সমান?,2\sqrt{2}2​,12(5−3)\frac{1}{2 \left( \sqrt{5} - \sqrt{3} \right)}2(5​−3​)1​,15+13\frac{1}{\sqrt{5}} + \frac{1}{\sqrt{3}}5​1​+3​1​,23+5\frac{2}{\sqrt{3} + \sqrt{5}}3​+5​2​,23+5\frac{2}{\sqrt{3} + \sqrt{5}}3​+5​2​,1
54.36×23x−8=3236 \times 2^{3x-8} = 3^236×23x−8=32হলে x এর মান কত?,73\frac{7}{3}37​,3,83\frac{8}{3}38​,2,2,1
"Explanation:“36×23x−8=32</p><p>⟹36×23x−8=9</p><p>⟹4×23x−8=1[∵উভয়পক্ষকে9দ্বারা ভাগ করে]</p><p>⟹22×23x−8=1</p><p>⟹22+3x−8=1</p><p>⟹23x−6=1</p><p>⟹23x−6=20</p><p>⟹3x−6=0</p><p>⟹3x=6</p><p>⟹x=63</p><p>∴x=2[Ans.]""</td></tr><trstyle=""height:76px;""><tdstyle=""height:76px;width:99.726836 \times 2^{3x-8} = 3^2 \\[3px]</p> <p>\implies 36 \times 2^{3x-8} = 9 \\[3px]</p> <p>\implies 4 \times 2^{3x-8} = 1 \space [\space \because \space উভয়পক্ষকে \space 9 \space দ্বারা \space ভাগ \space করে \space ] \\[3px]</p> <p>\implies 2^{2} \times 2^{3x-8} = 1 \\[3px]</p> <p>\implies 2^{2 + 3x - 8} = 1 \\[3px]</p> <p>\implies 2^{3x-6} = 1 \\[3px]</p> <p>\implies 2^{3x-6} = 2^{0} \\[3px]</p> <p>\implies 3x - 6 = 0 \\[3px]</p> <p>\implies 3x = 6 \\[3px]</p> <p>\implies x = \frac{6}{3} \\[3px]</p> <p>\therefore x = 2 \space \bm { \left[ Ans.\right] }""</td> </tr> <tr style=""height: 76px;""> <td style=""height: 76px; width: 99.7268%;"" colspan=""4"" rowspan=""1"" data-sheets-value=""{""1"":2,""2"":""55.একটি ত্রিভুজের দুটি কোণের পরিমাণ ৩৫(((<span class=""katex-eq"" data-katex-display=""false""> \\degree </span>))) ও ৫৫(((<span class=""katex-eq"" data-katex-display=""false""> \\degree </span>)))। ত্রিভুজটি কোন ধরনের?""}"">55.একটি ত্রিভুজের দুটি কোণের পরিমাণ ৩৫[katex] \degree36×23x−8=32</p><p>⟹36×23x−8=9</p><p>⟹4×23x−8=1[∵উভয়পক্ষকে9দ্বারাভাগকরে]</p><p>⟹22×23x−8=1</p><p>⟹22+3x−8=1</p><p>⟹23x−6=1</p><p>⟹23x−6=20</p><p>⟹3x−6=0</p><p>⟹3x=6</p><p>⟹x=36​</p><p>∴x=2[Ans.]""</td></tr><trstyle=""height:76px;""><tdstyle=""height:76px;width:99.7268ও ৫৫°\degree°। ত্রিভুজটি কোন ধরনের?",সমকোণী,সমবাহু,সমদ্বিবাহু,স্থূলকোণী,সমকোণী,1
"56.(x –y, 3) = (0, x + 2y) হলে (x, y) = কত?","(1, 1)","(1, 3)","(- 1, - 1)","(-3, 1)","(1, 1)",1
57.xy\frac{x}{y}yx​এর সাথে কত যোগ করলে যোগফলyx\frac{y}{x}xy​হবে?,x2−y2xy\frac{x^2 - y^2}{xy}xyx2−y2​,2x2−y2xy\frac{2x^2 - y^2}{xy}xy2x2−y2​,y2−x2xy\frac{y^2-x^2}{xy}xyy2−x2​,x2−2y2xy\frac{x^2 - 2y^2}{xy}xyx2−2y2​,y2−x2xy\frac{y^2-x^2}{xy}xyy2−x2​,1
58.একটি আয়তাকার ঘরের প্রস্থ তার দৈর্ঘ্যের২৩\frac{২}{৩}৩২​অংশ। ঘরটির পরিসীমা ৪০ মিটার হলে তার ক্ষেত্রফল কত?,৬০ বর্গমিটার,৯৬ বর্গমিটার,৭২ বর্গমিটার,৬৪ বর্গমিটার,৯৬ বর্গমিটার,1
"59.""৩সে.মি., ৪ সে.মি. ও ৫ সে.মি. বাহুবিশিষ্ট তিনটি ঘনক গলিয়ে নতুন একটি ঘনক তৈরি করা হল। নতুন ঘনকের বাহুর দৈর্ঘ্য কত হবে?""",৭.৫ সে.মি.,৬.৫ সে.মি.,৬ সে.মি.,৭ সে.মি.,৬ সে.মি.,1
60.একটি রম্বসের কর্ণদ্বয়ের দৈর্ঘ্য ৮সে.মি. ও ৯সে.মি.। রম্বসের ক্ষেত্রফলের সমান ক্ষেত্রফলবিশিষ্ট বর্গক্ষেত্রের পরিসীমা কত?,২৪ সে.মি.,১৮ সে.মি.,৩৬ সে.মি.,১২ সে.মি.,২৪ সে.মি.,1
"61 . ""কোনটি এন্টিবায়ােটিক?""",ইনসুলিন,পেপসিন,পেনিসিলিন,ইথিলিন,পেনিসিলিন,1
"62 . "" জন্ডিসে আক্রান্ত হয় –""",যকৃত,কিডনি,পাকস্থলী,হৃৎপিণ্ড,যকৃত,1
63 . কোনটি বিদ্যুৎ পরিবাহী নয়?,তামা,লােহা,রূপা,রাবার,রাবার,1
"64 . ""কোনটি নবায়নযােগ্য শক্তির উৎস?""",সূর্যরশ্মি,পীট কয়লা,পেট্রোল,প্রাকৃতিক গ্যাস,সূর্যরশ্মি,1
65 . ইন্টারনেট চালুর বছর-,১৯৫৯,১৯৬৫,১৯৬৯,১৯৮১,১৯৬৯,1
66 . MKS পদ্ধতিতে ভরের একক-,কিলােগ্রাম,পাউন্ড,গ্রাম,আউন্স,কিলােগ্রাম,1
67 . কোনটিকে চুম্বকে পরিণত করা যায়?,তামা,ইস্পাত,পিতল,স্বর্ণ,ইস্পাত,1
68 . অলটিমিটার (Altimeter) কি?,তাপ পরিমাপক যন্ত্র,উষ্ণতা পরিমাপক যন্ত্র,গ্যাসের চাপ পরিমাপক যন্ত্র,উচ্চতা পরিমাপক যন্ত্র,উচ্চতা পরিমাপক যন্ত্র,1
69 . কোনটি মৌলিক পদার্থ?,লােহা,ব্রোঞ্জ,পানি,ইস্পাত,লােহা,1
70 . কোন ধাতু স্বাভাবিক তাপমাত্রায় তরল থাকে?,পারদ,লিথিয়াম,জার্মেনিয়াম,ইউরেনিয়াম,পারদ,1
"71 . ""স্টেইনলেস স্টীলের অন্যতম উপাদান""",তামা,দস্তা,ক্রোমিয়াম,এলুমিনিয়াম,ক্রোমিয়াম,1
72 . সবচেয়ে হালকা গ্যাস—,অক্সিজেন,হাইড্রোজেন,রেডন,নাইট্রোজেন,হাইড্রোজেন,1
"73 . ""ভারী পানির রাসায়নিক সংকেত-""",2H2O22H_2O_22H2​O2​,H2OH_2OH2​O,D2OD_2OD2​O,HD2O2HD_2O_2HD2​O2​,,1
74 . লােহাকে গ্যালভানাইজিং করতে ব্যবহৃত হয়—,তামা,দস্তা,রূপা,এলুমিনিয়াম,রূপা,1
"75 . ""সংকর ধাতু পিতলের উপাদান""",তামা ও টিন,তামা ও দস্তা,তামা ও সীসা,তামা ও নিকেল,তামা ও টিন,1
76 . কোনটি সিমেন্ট তৈরির অন্যতম কাঁচামাল?,জিপসাম,সালফার,সােডিয়াম,খনিজ লবণ,জিপসাম,1
"77 . "" বিগব্যাঙ তত্ত্বের প্রবক্তা""",আইনস্টাইন,জি ল্যামেটার,স্টিফেন হকিং,গ্যালিলিও,জি ল্যামেটার,1
"78 . ""মহাজাগতিক রশ্মির আবিষ্কারক""",হেস,আইনস্টাইন,টলেমি,হাবল,হেস,1
79 . ইউরি গ্যাগারিন মহাশূন্যে যায়-,১৯৫৬ সালে,১৯৬১ সালে,১৯৬৪ সালে,১৯৬৯ সালে,১৯৬১ সালে,1
"80 . "" গ্রীনিচ মানমন্দির অবস্থিত""",যুক্তরাজ্যে,যুক্তরাষ্ট্রে,ফ্রান্সে,জার্মানিতে,যুক্তরাজ্যে,1
81. বাংলাদেশের সংবিধানে এখন পর্যন্ত কতটি সংশােধনী আনা হয়েছে?,১৭,১৬,২০,১৯,১৭,1
82. পূর্বাশা দ্বীপের অপর নাম কি?,নিঝুম দ্বীপ,সন্দ্বীপ,দক্ষিণ তালপট্টি,কুতুবদিয়া,দক্ষিণ তালপট্টি,1
83. মুজিবনগর কোন জেলায় অবস্থিত?,যশাের,কুষ্টিয়া,মেহেরপুর,চুয়াডাঙ্গা,মেহেরপুর,1
84. বাংলাদেশের সেন্টমার্টিন দ্বীপ কোন জেলায়?,ভােলা,নােয়াখালী,চট্টগ্রাম,কক্সবাজার,কক্সবাজার,1
85. বাংলাদেশের সর্বাধিক বৈদেশিক মুদ্রা অর্জনকারী বিষয় কি?,প্রবাসী শ্রমিক,পাট,রেডিমেড গার্মেন্টস,চামড়ার,রেডিমেড গার্মেন্টস,1
86. শালবন বিহার কোথায়?,গাজীপুর,মধুপুর,রাজবাড়ী,কুমিল্লার ময়নামতি পাহাড়ের পাশে|,কুমিল্লার ময়নামতি পাহাড়ের পাশে|,1
87. সাবাস বাংলাদেশ’ ভাস্কর্যটি কোথায় অবস্থিত?,টিএসসি মােড়ে,ঢাকা বিশ্ববিদ্যালয়ে,রেসকোর্স ময়দানে,রাজশাহী বিশ্ববিদ্যালয়ে,রাজশাহী বিশ্ববিদ্যালয়ে,1
"88. এশিয়া কাপ ক্রিকেট, ২০১২ কোন স্টেডিয়ামে অনুষ্ঠিত হয়?",বঙ্গবন্ধু জাতীয় স্টেডিয়াম,শেরে বাংলা জাতীয় স্টেডিয়াম,বাংলাদেশ আর্মি স্টেডিয়াম,রাজশাহী স্টেডিয়াম,শেরে বাংলা জাতীয় স্টেডিয়াম,1
89. বাংলাদেশের জাতীয় দিবস কবে?,১৬ই ডিসেম্বর,৭ই মার্চ,২৬শে মার্চ,১৭ই এপ্রিল,২৬শে মার্চ,1
90. শ্রীলঙ্কার মুদ্রার নাম কি?,ডলার,পাউন্ড,টাকা,রূপী,রূপী,1
"91. ""সার্ক-এর সদস্য দেশ কয়টি?",৬,৭,৮,৯,৮,1
92. বাংলাদেশের প্রথম প্রধান সেনাপতি কে ছিলেন?,মেঃ জেঃ জিয়াউর রহমান,মেঃ জেঃ সফিউল্লাহ,লেঃ জেঃ এইচ. এম. এরশাদ,জেঃ আতাউল গনি ওসমানি,জেঃ আতাউল গনি ওসমানি,1
93. বাংলাদেশের রাজধানী কোথায়?,ঢাকা উত্তর,ঢাকা দক্ষিণ,ঢাকা,শেরে বাংলা নগর,ঢাকা,1
94. পৃথিবীর বৃহত্তম বিমান বন্দরটি কোথায় অবস্থিত?,নিউইয়র্ক,লন্ডন,বার্লিন,বেইজিং,বেইজিং,1
95. পৃথিবীর গভীরতম স্থান কোন মহাসাগরে?,ভারত মহাসাগরে,আটলান্টিক মহাসাগরে,প্রশান্ত মহাসাগরে,উত্তর মহাসাগরে,প্রশান্ত মহাসাগরে,1
96. পৃথিবীর গভীরতম হ্রদ কোনটি?,কাসপিয়ান,বৈকাল,মানস সরােবর,ডেড সী (Dead Sea),বৈকাল,1
97. ২০১৪ সালে বিশ্বকাপ ফুটবল কোথায় অনুষ্ঠিত হবে?,লন্ডন,বার্লিন,ব্রাজিল,আর্জেন্টিনা,ব্রাজিল,1
98. শিল্পী জয়নুল আবেদীনের সগ্রহশালাটি কোথায়?,ঢাকায়,ময়মনসিংহে,চট্টগ্রামে,নড়াইলে,ময়মনসিংহে,1
99. বাংলাদেশের কোন ছবি সম্প্রতি কোলকাতা ফিলম ফেস্টিভাল’ পুরস্কার লাভ করে?,ওরা এগার জন,গেরিলা,আবার তােরা মানুষ হ,স্টপ জেনােসাইড,গেরিলা,1
100. বাংলাদেশের আপীল বিভাগের মােট বিচারক কতজন?,১১,২১,৯,১৫,১১,1
